=== LOG LAPORAN GAGAL AKSES CRAWLING ===
Format: [KATEGORI] | Media | Alasan Detail | URL
[UNKNOWN_ERROR] | Bizlaw.Id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bizlaw.id/feed/
[UNKNOWN_ERROR] | bidiksumsel.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bidiksumsel.com/feed/
[UNKNOWN_ERROR] | bisanews.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bisanews.id/feed/
[UNKNOWN_ERROR] | Bintangpost.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bintangpost.com/sitemap.xml
[UNKNOWN_ERROR] | bogor-kita.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bogor-kita.com/feed/
[UNKNOWN_ERROR] | bogorone.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bogorone.co.id/feed/
[UNKNOWN_ERROR] | Benuanta | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://benuanta.co.id/feed/
[UNKNOWN_ERROR] | bogordaily.net | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bogordaily.net/feed/
[UNKNOWN_ERROR] | BorneoFlash.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://borneoflash.com/feed/
[UNKNOWN_ERROR] | TribunnewsBogor.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bogor.tribunnews.com/rss
[UNKNOWN_ERROR] | bogor-today.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bogor-today.com/feed/
[UNKNOWN_ERROR] | Bolmongraya.co | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bolmongraya.co/feed/
